Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 5
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","04/05/2022","2166","N8537Z","ONT","21:45","22:58","73"
"WN","04/05/2022","2167","N213WN","SNA","07:35","07:34","-1"
"WN","04/05/2022","2197","N7876A","SNA","08:45","08:39","-6"
"WN","04/05/2022","2201","N8724J","SAN","09:40","09:43","3"
"WN","04/05/2022","2203","N8724J","SAN","14:00","14:00","0"
"WN","04/05/2022","2232","N7737E","DEN","06:55","06:49","-6"
"WN","04/05/2022","2248","N461WN","COS","09:35","09:48","13"
"WN","04/05/2022","2274","N968WN","LAX","21:55","22:31","36"
"WN","04/05/2022","2304","N8660A","OAK","18:30","18:47","17"
"WN","04/05/2022","2357","N437WN","FAT","09:50","09:58","8"
"WN","04/05/2022","2358","N446WN","PHX","13:35","13:36","1"
"WN","04/05/2022","2359","N737JW","FAT","22:20","22:48","28"
"WN","04/05/2022","2368","N939WN","IND","08:15","08:54","39"
"WN","04/05/2022","2375","N444WN","DEN","19:40","20:32","52"
"WN","04/05/2022","2389","N8577Z","HOU","15:55","16:01","6"
"WN","04/05/2022","2394","N216WR","PSP","16:35","16:51","16"
"WN","04/05/2022","2402","N7856A","PHX","20:15","21:01","46"
"WN","04/05/2022","2444","N8559Q","DEN","08:05","08:14","9"
"WN","04/05/2022","2486","N8607M","DAL","15:25","16:01","36"
"WN","04/05/2022","2488","N755SA","HOU","10:35","10:41","6"
"WN","04/05/2022","2523","N446WN","RNO","07:20","07:16","-4"
"WN","04/05/2022","2525","N437WN","ONT","13:00","13:29","29"
"WN","04/05/2022","2533","N235WN","BZN","13:10","13:25","15"
"WN","04/05/2022","2538","N757LV","SJC","21:35","21:30","-5"
"WN","04/05/2022","2546","N8645A","MDW","12:45","12:59","14"
"WN","04/05/2022","2559","N8816Q","DAL","07:40","07:51","11"
"WN","04/05/2022","2566","N8749Q","SLC","10:50","10:47","-3"
"WN","04/05/2022","2582","N496WN","MCI","07:15","07:15","0"
"WN","04/05/2022","2590","N230WN","PHX","07:35","08:00","25"
"WN","04/05/2022","2597","N8661A","LAX","15:15","15:32","17"
"WN","04/05/2022","2602","N752SW","DAL","10:50","10:46","-4"
"WN","04/05/2022","2604","N257WN","LAX","05:30","05:29","-1"
"WN","04/05/2022","2610","N490WN","SFO","06:10","06:10","0"
"WN","04/05/2022","2619","N785SW","LAX","17:00","17:39","39"
"WN","04/05/2022","2622","N7822A","ABQ","07:30","07:27","-3"
"WN","04/05/2022","2633","N7888A","SAN","06:35","06:41","6"
"WN","04/05/2022","2651","N451WN","SNA","18:55","19:10","15"
"WN","04/05/2022","2659","N7813P","SNA","13:50","14:02","12"
"WN","04/05/2022","2667","N7848A","MSY","11:05","11:12","7"
"WN","04/05/2022","2687","N452WN","SBA","14:15","14:26","11"
"WN","04/05/2022","2689","N566WN","SBA","20:00","20:46","46"
"WN","04/05/2022","2694","N8326F","BWI","14:25","14:42","17"
"WN","04/05/2022","2711","N731SA","BLI","12:05","12:04","-1"
"WN","04/05/2022","2721","N717SA","AUS","19:55","19:57","2"
"WN","04/05/2022","2729","N945WN","OAK","11:40","11:44","4"
"WN","04/05/2022","2745","N287WN","BUR","19:00","19:13","13"
"WN","04/05/2022","2788","N8526W","SJC","14:45","14:40","-5"
"WN","04/05/2022","2802","N7884G","SBA","08:25","08:21","-4"
"WN","04/05/2022","2803","N8729H","LAX","09:30","09:34","4"
"WN","04/05/2022","2819","N8747Q","LAX","08:05","08:14","9"
"WN","04/05/2022","2822","N8812Q","MDW","14:15","14:39","24"
"WN","04/05/2022","3626","N403WN","DEN","05:25","05:25","0"
"WN","04/05/2022","3949","N8329B","KOA","17:25","17:24","-1"
"WN","04/05/2022","4044","N7845A","MKE","19:20","20:16","56"
"WN","04/05/2022","4049","N925WN","STL","20:35","21:28","53"
"WN","04/05/2022","4278","N962WN","ELP","10:05","10:04","-1"
"WN","04/05/2022","4358","N8718Q","DEN","22:10","22:44","34"
"WN","04/05/2022","4557","N445WN","PHX","08:55","08:53","-2"
"WN","04/05/2022","4573","N946WN","SEA","18:40","18:41","1"
"WN","04/05/2022","6516","N250WN","PIT","16:15","17:36","81"
"WN","04/05/2022","6607","N8584Z","MKE","07:45","09:08","83"

 SOURCE: Bureau of Transportation Statistics
